赛狐店铺,收款主体,品牌/账号别,站点,归属账号族,渠道账号/需补,状态
FZH深圳-Strusery-BE,FZH深圳,Strusery,BE,Strusery,AMZStruseryBE,已匹配
FZH深圳-Strusery-IE,FZH深圳,Strusery,IE,Strusery,AMZStruseryIE?,跳过-无当月数据
Daneey-LELEFIDO-US,Daneey,LELEFIDO,US,DANEEY,AMZDANEEYUS,已匹配
Daneey-LELEFIDO-CA,Daneey,LELEFIDO,CA,DANEEY,AMZDANEEYCA?,需补充账号
Daneey-LELEFIDO-ES,Daneey,LELEFIDO,ES,DANEEY,AMZDANEEYES,已匹配
Daneey-LELEFIDO-UK,Daneey,LELEFIDO,UK,DANEEY,AMZDANEEYUK,已匹配
Daneey-LELEFIDO-FR,Daneey,LELEFIDO,FR,DANEEY,AMZDANEEYFR,已匹配
Daneey-LELEFIDO-DE,Daneey,LELEFIDO,DE,DANEEY,AMZDANEEYDE,已匹配
Daneey-LELEFIDO-IT,Daneey,LELEFIDO,IT,DANEEY,AMZDANEEYIT,已匹配
Daneey-LELEFIDO-NL,Daneey,LELEFIDO,NL,DANEEY,AMZDANEEYNL,已匹配
Daneey-LELEFIDO-SE,Daneey,LELEFIDO,SE,DANEEY,AMZDANEEYSE,已匹配
Daneey-LELEFIDO-PL,Daneey,LELEFIDO,PL,DANEEY,AMZDANEEYPL,已匹配
Daneey-LELEFIDO-BE,Daneey,LELEFIDO,BE,DANEEY,AMZDANEEYBE,已匹配
Daneey-LELEFIDO-IE,Daneey,LELEFIDO,IE,DANEEY,AMZDANEEYIE?,跳过-无当月数据
北京固祥-US-US,北京固祥,US,US,,,排除-未启用
北京固祥-US-CA,北京固祥,US,CA,,,排除-未启用
北京固祥-US-MX,北京固祥,US,MX,,,排除-未启用
北京固祥-US-BR,北京固祥,US,BR,,,排除-未启用
方州汇绍兴-Xalviortex-US,方州汇绍兴,Xalviortex,US,FZHSX,AMZFZHSXUS,已匹配
方州汇绍兴-Xalviortex-CA,方州汇绍兴,Xalviortex,CA,FZHSX,AMZFZHSXCA?,跳过-无当月数据
方州汇绍兴-Xalviortex-MX,方州汇绍兴,Xalviortex,MX,FZHSX,AMZFZHSXMX?,跳过-无当月数据
